brand_id;product_id;brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
4;22;Four Sigmatic;Focus Dark Roast Expresso Pods (10ct);pods;;10;164.4;13.62;0;1.362;lion's mane;amazon;https://www.amazon.com/dp/B0C386SD6D;25.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;24;;18;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct;20.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;48;;36;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct;20.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;96;;72;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct;20.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;24;;28.8;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct;20.05.2026;single
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;48;;57.6;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct;20.05.2026;single
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;96;;115.2;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-half-caf-coffee-pods-24ct;20.05.2026;single
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;24;;33.99;0;1.4163;lion's mane;amazon;https://www.amazon.com/dp/B0DDW958PG;25.05.2026;single
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;24;;18;50;0.75;;own_site;https://us.foursigmatic.com/products/balance-half-caf-coffee-pods;20.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;48;;36;50;0.75;;own_site;https://us.foursigmatic.com/products/balance-half-caf-coffee-pods;20.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;96;;72;50;0.75;;own_site;https://us.foursigmatic.com/products/balance-half-caf-coffee-pods;20.05.2026;subscription
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;24;;28.8;20;1.2;;own_site;https://us.foursigmatic.com/products/balance-half-caf-coffee-pods;20.05.2026;single
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;48;;57.6;20;1.2;;own_site;https://us.foursigmatic.com/products/balance-half-caf-coffee-pods;20.05.2026;single
4;23;Four Sigmatic;Balance Coffee Pods (24ct);pods;;96;;115.2;20;1.2;;own_site;https://us.foursigmatic.com/products/balance-half-caf-coffee-pods;20.05.2026;single
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;15;;10;50;0.67;;own_site;https://us.foursigmatic.com/products/focus-organic-latte-vanilla;20.05.2026;subscription
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;30;;20;50;0.67;;own_site;https://us.foursigmatic.com/products/focus-organic-latte-vanilla;20.05.2026;subscription
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;60;;40;50;0.67;;own_site;https://us.foursigmatic.com/products/focus-organic-latte-vanilla;20.05.2026;subscription
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;15;;16;20;1.07;;own_site;https://us.foursigmatic.com/products/focus-organic-latte-vanilla;20.05.2026;single
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;30;;32;20;1.07;;own_site;https://us.foursigmatic.com/products/focus-organic-latte-vanilla;20.05.2026;single
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;60;;64;20;1.07;;own_site;https://us.foursigmatic.com/products/focus-organic-latte-vanilla;20.05.2026;single
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;15;599.9;29.95;25;1.9967;;amazon;https://www.amazon.com/dp/B08GNB94B9;25.05.2026;single
4;24;Four Sigmatic;Focus Organic Coffee Latte - Vanilla;instant;;15;599.9;29.95;25;1.9967;;amazon;https://www.amazon.com/dp/B08GNB94B9;25.05.2026;subscription
4;25;Four Sigmatic;Focus Creamer - Sweet & Creamy;creamer;;15;;7.5;50;0.5;;own_site;https://us.foursigmatic.com/products/focus-creamer-sweet-creamy;20.05.2026;subscription
