brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type;status
Laird Superfood;Laird Superfood Organic Calm and Relax Mushroom Blend with Reishi, Lemon Balm, and Ashwagandha, 3.17 oz. Bag, Pack of 1;instant;;30;89.9;25;0;0.8333;reishi;amazon;https://www.amazon.com/dp/B0F84HMTNW;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Calm and Relax Mushroom Blend with Reishi, Lemon Balm, and Ashwagandha, 3.17 oz. Bag, Pack of 1;instant;;30;89.9;23.75;5;0.7917;reishi;amazon;https://www.amazon.com/dp/B0F84HMTNW;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Organic Lions Mane Mushroom Powder for Cognitive Function and Immune Support, 3.17 oz. Bag, Pack of 1;instant;;10;89.9;25;0;2.5;mushroom blend;amazon;https://www.amazon.com/dp/B0F84FVWR3;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Lions Mane Mushroom Powder for Cognitive Function and Immune Support, 3.17 oz. Bag, Pack of 1;instant;;10;89.9;23.75;5;2.375;mushroom blend;amazon;https://www.amazon.com/dp/B0F84FVWR3;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Organic Oyster Mushroom Powder for Immune and Digestive Support, 3.17 oz. Bag, Pack of 1;instant;;38;89.9;25;0;0.6579;mushroom blend;amazon;https://www.amazon.com/dp/B0F84SH2JJ;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Oyster Mushroom Powder for Immune and Digestive Support, 3.17 oz. Bag, Pack of 1;instant;;38;89.9;23.75;5;0.625;mushroom blend;amazon;https://www.amazon.com/dp/B0F84SH2JJ;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Organic Reishi Mushroom Powder for Immune Support and Stress Relief, 3.17 oz. Bag, Pack of 1;instant;;100;89.9;25;0;0.25;reishi;amazon;https://www.amazon.com/dp/B0F84JTPX5;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Reishi Mushroom Powder for Immune Support and Stress Relief, 3.17 oz. Bag, Pack of 1;instant;;100;89.9;23.75;5;0.2375;reishi;amazon;https://www.amazon.com/dp/B0F84JTPX5;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Organic Turkey Tail Mushroom Powder for Immune Support, 3.17 oz. Bag, Pack of 1;instant;;45;89.9;25;0;0.5556;mushroom blend;amazon;https://www.amazon.com/dp/B0F84GB41D;25.05.2026;single;-
Laird Superfood;Laird Superfood Organic Turkey Tail Mushroom Powder for Immune Support, 3.17 oz. Bag, Pack of 1;instant;;45;89.9;23.75;5;0.5278;mushroom blend;amazon;https://www.amazon.com/dp/B0F84GB41D;25.05.2026;subscription;-
Laird Superfood;Laird Superfood Prebiotic Daily Greens, 15 Packs, 0.5 oz (14 g) Each;instant;;30;212.6;35;0;1.1667;;amazon;https://www.amazon.com/dp/B0C2RC7F1N;25.05.2026;single;-
MudWtr;MUDWTR Nourish | Vanilla Mushroom Protein Powder | 2,000mg Adaptogenic Mushrooms | Vegan Protein Powder | USDA Organic | Focus, Mood & Digestion Support | Vanilla, Lion's Mane, Bacopa | 15 Servings;instant;;15;615.2;69.99;0;4.666;lion's mane;amazon;https://www.amazon.com/dp/B0FN5VT9XH;25.05.2026;single;-
MudWtr;MUDWTR Nourish | Vanilla Mushroom Protein Powder | 2,000mg Adaptogenic Mushrooms | Vegan Protein Powder | USDA Organic | Focus, Mood & Digestion Support | Vanilla, Lion's Mane, Bacopa | 15 Servings;instant;;15;615.2;66.49;5;4.4327;lion's mane;amazon;https://www.amazon.com/dp/B0FN5VT9XH;25.05.2026;subscription;-
MudWtr;Coconut Sweetener (30 serving);instant;;30;241;24.99;0;0.833;;amazon;https://www.amazon.com/dp/B0D1JN1BV3;25.05.2026;single;-
MudWtr;Coconut Sweetener (30 serving);instant;;30;241;23.74;5;0.7913;;amazon;https://www.amazon.com/dp/B0D1JN1BV3;25.05.2026;subscription;-
Pella Nutrition;Cortisol Calm Tea – 9-Herb Relaxation Formula – Ashwagandha Chamomile Lavender Lemon Balm Rooibos Passion Flowers Linden Flowers Rose Licorice – Vegan Kosher Caffeine-Free Loose Leaf Tea – 25 Servings;instant;;25;49.9;16.99;0;0.6796;adaptogen;amazon;https://www.amazon.com/dp/B0GMPWVHG9;25.05.2026;single;-
Pella Nutrition;Pella Nutrition Sea Moss Drops with Bladderwrack – 4X Faster Absorption Than Irish Sea Moss Gel Superfood, Gummies, and Capsules – Digestive & Immune Support Supplement (Strawberry Lime, 60mL);instant;;30;;19.99;0;0.6663;;amazon;https://www.amazon.com/dp/B0931XFJSF;25.05.2026;single;reject
Pella Nutrition;Pella Nutrition Sea Moss Drops with Bladderwrack – 4X Faster Absorption Than Irish Sea Moss Gel Superfood, Gummies, and Capsules – Digestive & Immune Support Supplement (Strawberry Lime, 60mL);instant;;30;;17.99;10;0.5997;;amazon;https://www.amazon.com/dp/B0931XFJSF;25.05.2026;subscription;reject
Pella Nutrition;Liver Cleanse Tea – 10-Herb Formula with Milk Thistle Dandelion Burdock Turmeric Ginger Nettle Leaves Peppermint Lemongrass Licorice & Fennel – Vegan Kosher Caffeine-Free Loose Leaf Tea – 25 Servings;instant;;25;49.9;16.99;0;0.6796;;amazon;https://www.amazon.com/dp/B0GMPT35NV;25.05.2026;single;-
Pella Nutrition;Belly Slim Tea – 11-Herb Formula with Ginger Licorice Cinnamon Fennel Oolong Lemon Dandelion Yerba Mate Mullein Leaves Milk Thistle & Peppermint – Vegan Kosher Caffeinated Loose Leaf Tea – 25 Servings;instant;;25;50;16.99;0;0.6796;;amazon;https://www.amazon.com/dp/B0GDMNV754;25.05.2026;single;-
Pella Nutrition;Cranberry Echinacea Chamomile Tea with Blackberries, Strawberry, Tulsi Basil & Safflower – Vegan Kosher Naturally Caffeine Free – Traditional Herbal Blend for Wellness & Antioxidant Rich (25 Tea Bags);instant;;0;;7.99;0;;adaptogen;amazon;https://www.amazon.com/dp/B0F4GLVLPL;25.05.2026;single;-
Pella Nutrition;Cranberry Echinacea Chamomile Tea with Blackberries, Strawberry, Tulsi Basil & Safflower – Vegan Kosher Naturally Caffeine Free – Traditional Herbal Blend for Wellness & Antioxidant Rich (25 Tea Bags);instant;;0;;7.19;10;;adaptogen;amazon;https://www.amazon.com/dp/B0F4GLVLPL;25.05.2026;subscription;-
Pella Nutrition;Lung Detox Tea – 10-Herb Formula with Ginger Licorice Elderberry Ginseng Marshmallow Root Echinacea Peppermint Tulsi Rooibos & Mullein Leaves – Vegan Non-GMO Caffeine-Free Loose Leaf Tea – 25 Servings;instant;;25;49.9;16.99;0;0.6796;adaptogen;amazon;https://www.amazon.com/dp/B0G7LDJZVC;25.05.2026;single;-
Pella Nutrition;Ginger Turmeric with Black & Green Tea – Blended with Bael Nut & Cornflower Petals – Vegan, Kosher, Non-GMO Low Caffeine – Hot or Iced Herbal Drink for Healthy Digestion & Immune Support (25 Tea Bags);instant;;0;;7.99;0;;;amazon;https://www.amazon.com/dp/B0F4L953Q9;25.05.2026;single;-
Pella Nutrition;Ginger Turmeric with Black & Green Tea – Blended with Bael Nut & Cornflower Petals – Vegan, Kosher, Non-GMO Low Caffeine – Hot or Iced Herbal Drink for Healthy Digestion & Immune Support (25 Tea Bags);instant;;0;;7.19;10;;;amazon;https://www.amazon.com/dp/B0F4L953Q9;25.05.2026;subscription;-
Pella Nutrition;White Tea, Blueberry, Rosehip, Lemon, Tangerine, and Botanical Extracts Herbal Drink – Vegan, Kosher – Non-GMO & Low-Caffeine – Rich in Antioxidants – Breakfast Beverage for Healthy Glow (25 Tea Bags);instant;;0;;7.99;0;;;amazon;https://www.amazon.com/dp/B0F491YTHK;25.05.2026;single;-
Pella Nutrition;Sea Moss and Ashwagandha Liquid Supplement - Infused with Lion's Mane, Black Seed Oil, and Bladderwrack - Vegan, Easy-to-Mix Formula - Supports Antioxidant Activity & Immune Health (Mixed Berry, 60mL);capsule;;60;;24.95;0;0.4158;lion's mane;amazon;https://www.amazon.com/dp/B0CWMCY3KV;25.05.2026;single;-
